"File","Name","Hits","ExternalHits"
".\backend\src\mail\mail-worker-sanitizer.service.spec.ts","mail-worker-sanitizer.service.spec","4","1"
".\backend\src\mail\mail-worker-sanitizer.service.ts","mail-worker-sanitizer.service","13","10"
".\backend\src\medical-exams\medical-exams.controller.spec.ts","medical-exams.controller.spec","4","1"
".\backend\src\medical-exams\medical-exams.controller.ts","medical-exams.controller","15","12"
".\backend\src\medical-exams\medical-exams.module.ts","medical-exams.module","11","8"
".\backend\src\medical-exams\medical-exams.service.pagination.spec.ts","medical-exams.service.pagination.spec","4","1"
".\backend\src\medical-exams\medical-exams.service.spec.ts","medical-exams.service.spec","4","1"
".\backend\src\medical-exams\medical-exams.service.ts","medical-exams.service","27","24"
".\backend\src\nonconformities\nonconformities.controller.spec.ts","nonconformities.controller.spec","4","1"
".\backend\src\nonconformities\nonconformities.controller.ts","nonconformities.controller","15","12"
".\backend\src\nonconformities\nonconformities.module.ts","nonconformities.module","13","10"
".\backend\src\nonconformities\nonconformities.service.spec.ts","nonconformities.service.spec","62","59"
".\backend\src\nonconformities\nonconformities.service.ts","nonconformities.service","83","80"
".\backend\src\notifications\notifications.controller.ts","notifications.controller","9","6"
".\backend\src\notifications\notifications.gateway.ts","notifications.gateway","12","9"
".\backend\src\notifications\notifications.module.ts","notifications.module","13","10"
".\backend\src\notifications\notifications.service.spec.ts","notifications.service.spec","14","11"
".\backend\src\notifications\notifications.service.ts","notifications.service","29","26"
".\backend\src\photographic-reports\photographic-reports.controller.ts","photographic-reports.controller","8","5"
".\backend\src\photographic-reports\photographic-reports.module.ts","photographic-reports.module","8","5"
".\backend\src\photographic-reports\photographic-reports.renderer.ts","photographic-reports.renderer","8","5"
".\backend\src\photographic-reports\photographic-reports.service.spec.ts","photographic-reports.service.spec","1","0"
".\backend\src\photographic-reports\photographic-reports.service.ts","photographic-reports.service","11","8"
".\backend\src\photographic-reports\photographic-reports.types.ts","photographic-reports.types","11","8"
".\backend\src\photographic-reports\photographic-reports.word.spec.ts","photographic-reports.word.spec","4","1"
".\backend\src\photographic-reports\photographic-reports.word.ts","photographic-reports.word","13","10"
".\backend\src\privacy-governance\offboarding-checklist.registry.ts","offboarding-checklist.registry","9","6"
".\backend\src\privacy-governance\privacy-governance.controller.ts","privacy-governance.controller","9","6"
".\backend\src\privacy-governance\privacy-governance.module.ts","privacy-governance.module","9","6"
".\backend\src\privacy-governance\privacy-governance.service.spec.ts","privacy-governance.service.spec","7","4"
".\backend\src\privacy-governance\privacy-governance.service.ts","privacy-governance.service","19","16"
".\backend\src\privacy-governance\privacy-governance-admin.controller.ts","privacy-governance-admin.controller","9","6"
".\backend\src\privacy-governance\retention-matrix.registry.ts","retention-matrix.registry","9","6"
".\backend\src\privacy-governance\subprocessors.registry.ts","subprocessors.registry","9","6"
".\backend\src\privacy-requests\privacy-requests.controller.spec.ts","privacy-requests.controller.spec","8","5"
".\backend\src\privacy-requests\privacy-requests.controller.ts","privacy-requests.controller","18","15"
".\backend\src\privacy-requests\privacy-requests.module.ts","privacy-requests.module","9","6"
".\backend\src\privacy-requests\privacy-requests.service.spec.ts","privacy-requests.service.spec","9","6"
".\backend\src\privacy-requests\privacy-requests.service.ts","privacy-requests.service","20","17"
".\backend\src\profiles\profiles.controller.ts","profiles.controller","9","6"
".\backend\src\profiles\profiles.module.ts","profiles.module","9","6"
".\backend\src\profiles\profiles.service.spec.ts","profiles.service.spec","4","1"
".\backend\src\profiles\profiles.service.ts","profiles.service","17","14"
".\backend\src\pts\pts.controller.spec.ts","pts.controller.spec","5","2"
".\backend\src\pts\pts.controller.ts","pts.controller","17","14"
".\backend\src\pts\pts.module.ts","pts.module","12","9"
".\backend\src\pts\pts.service.pagination.spec.ts","pts.service.pagination.spec","4","1"
".\backend\src\pts\pts.service.spec.ts","pts.service.spec","49","46"
".\backend\src\pts\pts.service.ts","pts.service","74","71"
".\backend\src\push\push.controller.ts","push.controller","9","6"
".\backend\src\push\push.module.ts","push.module","9","6"
".\backend\src\push\push.service.spec.ts","push.service.spec","21","18"
".\backend\src\push\push.service.ts","push.service","32","29"
".\backend\src\queue\bull-board.module.ts","bull-board.module","11","8"
".\backend\src\queue\bull-queue-shutdown.service.ts","bull-queue-shutdown.service","9","6"
".\backend\src\queue\default-job-options.ts","default-job-options","16","13"
".\backend\src\queue\dlq-retention.service.ts","dlq-retention.service","9","6"
".\backend\src\queue\queue-monitor.service.ts","queue-monitor.service","9","6"
".\backend\src\queue\queue-services.module.ts","queue-services.module","10","7"
".\backend\src\queue\redis-disabled-queue.spec.ts","redis-disabled-queue.spec","12","9"
".\backend\src\queue\redis-disabled-queue.ts","redis-disabled-queue","29","26"
".\backend\src\queue\redis-queue-infra.util.ts","redis-queue-infra.util","15","12"
".\backend\src\rbac\rbac.module.ts","rbac.module","10","7"
".\backend\src\rbac\rbac.service.spec.ts","rbac.service.spec","4","1"
".\backend\src\rbac\rbac.service.ts","rbac.service","31","28"
".\backend\src\rbac\rbac-review.service.ts","rbac-review.service","9","6"
".\backend\src\rbac\rbac-warmup.service.spec.ts","rbac-warmup.service.spec","4","1"
".\backend\src\rbac\rbac-warmup.service.ts","rbac-warmup.service","14","11"
".\backend\src\rdos\rdo-audit.service.ts","rdo-audit.service","11","8"
".\backend\src\rdos\rdos.controller.spec.ts","rdos.controller.spec","5","2"
".\backend\src\rdos\rdos.controller.ts","rdos.controller","17","14"
".\backend\src\rdos\rdos.module.ts","rdos.module","11","8"
".\backend\src\rdos\rdos.service.spec.ts","rdos.service.spec","12","9"
".\backend\src\rdos\rdos.service.ts","rdos.service","29","26"
".\backend\src\reports\pdf.processor.spec.ts","pdf.processor.spec","4","1"
".\backend\src\reports\pdf.processor.ts","pdf.processor","15","12"
".\backend\src\reports\reports.controller.spec.ts","reports.controller.spec","4","1"
".\backend\src\reports\reports.controller.ts","reports.controller","25","22"
".\backend\src\reports\reports.module.ts","reports.module","21","18"
".\backend\src\reports\reports.service.spec.ts","reports.service.spec","28","25"
".\backend\src\reports\reports.service.ts","reports.service","54","51"
".\backend\src\reports\reports.worker.module.ts","reports.worker.module","9","6"
".\backend\src\reports\reports-query-hardening.spec.ts","reports-query-hardening.spec","4","1"
".\backend\src\risks\risks.controller.ts","risks.controller","10","7"
".\backend\src\risks\risks.module.ts","risks.module","10","7"
".\backend\src\risks\risks.service.cache.spec.ts","risks.service.cache.spec","4","1"
".\backend\src\risks\risks.service.ts","risks.service","17","14"
".\backend\src\seed\seed.service.spec.ts","seed.service.spec","4","1"
".\backend\src\seed\seed.service.ts","seed.service","14","11"
".\backend\src\service-orders\service-orders.controller.ts","service-orders.controller","10","7"
".\backend\src\service-orders\service-orders.module.ts","service-orders.module","10","7"
".\backend\src\service-orders\service-orders.service.spec.ts","service-orders.service.spec","12","9"
".\backend\src\service-orders\service-orders.service.ts","service-orders.service","25","22"
".\backend\src\signatures\public-signatures.controller.spec.ts","public-signatures.controller.spec","4","1"
".\backend\src\signatures\public-signatures.controller.ts","public-signatures.controller","14","11"
".\backend\src\signatures\signature-proof.util.ts","signature-proof.util","11","8"
".\backend\src\signatures\signatures.controller.spec.ts","signatures.controller.spec","8","5"
".\backend\src\signatures\signatures.controller.ts","signatures.controller","29","26"
".\backend\src\signatures\signatures.module.ts","signatures.module","13","10"
".\backend\src\signatures\signatures.service.spec.ts","signatures.service.spec","104","101"
".\backend\src\signatures\signatures.service.ts","signatures.service","135","132"
".\backend\src\sites\sites.controller.spec.ts","sites.controller.spec","4","1"
".\backend\src\sites\sites.controller.ts","sites.controller","14","11"
".\backend\src\sites\sites.module.ts","sites.module","10","7"
".\backend\src\sites\sites.service.spec.ts","sites.service.spec","4","1"
".\backend\src\sites\sites.service.ts","sites.service","19","16"
".\backend\src\smoke\compliance-flows.smoke-spec.ts","compliance-flows.smoke-spec","4","1"
".\backend\src\smoke\dashboard-document-pendencies.smoke-spec.ts","dashboard-document-pendencies.smoke-spec","4","1"
".\backend\src\smoke\document-flows.smoke-spec.ts","document-flows.smoke-spec","12","9"
".\backend\src\sophie\sophie.controller.ts","sophie.controller","10","7"
".\backend\src\sophie\sophie.engine.service.ts","sophie.engine.service","12","9"
".\backend\src\sophie\sophie.local-chat.service.ts","sophie.local-chat.service","12","9"
".\backend\src\sophie\sophie.module.ts","sophie.module","10","7"
".\backend\src\sophie\sophie.types.ts","sophie.types","20","17"
".\backend\src\storage\storage.controller.p1.spec.ts","storage.controller.p1.spec","4","1"
".\backend\src\storage\storage.controller.spec.ts","storage.controller.spec","4","1"
".\backend\src\storage\storage.controller.ts","storage.controller","20","17"
".\backend\src\storage\storage.module.ts","storage.module","19","16"
".\backend\src\tasks\cleanup.task.spec.ts","cleanup.task.spec","4","1"
".\backend\src\tasks\cleanup.task.ts","cleanup.task","14","11"
".\backend\src\tasks\document-retention.processor.ts","document-retention.processor","9","6"
".\backend\src\tasks\document-retention.scheduler.ts","document-retention.scheduler","9","6"
".\backend\src\tasks\document-retention-worker.module.ts","document-retention-worker.module","9","6"
".\backend\src\tasks\expiry-notifications.processor.ts","expiry-notifications.processor","9","6"
".\backend\src\tasks\expiry-notifications-worker.module.ts","expiry-notifications-worker.module","10","7"
".\backend\src\tasks\gdpr-retention-cleanup.scheduler.spec.ts","gdpr-retention-cleanup.scheduler.spec","5","2"
".\backend\src\tasks\gdpr-retention-cleanup.scheduler.ts","gdpr-retention-cleanup.scheduler","15","12"
".\backend\src\tasks\tasks.module.ts","tasks.module","9","6"
".\backend\src\tasks\tasks.worker.module.ts","tasks.worker.module","9","6"
".\backend\src\tenant-policies\tenant-policies.controller.ts","tenant-policies.controller","9","6"
".\backend\src\tenant-policies\tenant-policies.module.ts","tenant-policies.module","9","6"
".\backend\src\tenant-policies\tenant-policies.service.ts","tenant-policies.service","10","7"
".\backend\src\tools\tools.controller.ts","tools.controller","10","7"
".\backend\src\tools\tools.module.ts","tools.module","10","7"
".\backend\src\tools\tools.service.cache.spec.ts","tools.service.cache.spec","4","1"
".\backend\src\tools\tools.service.ts","tools.service","17","14"
".\backend\src\trainings\trainings.controller.spec.ts","trainings.controller.spec","4","1"
".\backend\src\trainings\trainings.controller.ts","trainings.controller","15","12"
".\backend\src\trainings\trainings.module.ts","trainings.module","12","9"
".\backend\src\trainings\trainings.service.pagination.spec.ts","trainings.service.pagination.spec","4","1"
".\backend\src\trainings\trainings.service.spec.ts","trainings.service.spec","4","1"
".\backend\src\trainings\trainings.service.ts","trainings.service","27","24"
".\backend\src\users\user-module-access.config.spec.ts","user-module-access.config.spec","4","1"
".\backend\src\users\user-module-access.config.ts","user-module-access.config","16","13"
".\backend\src\users\users.controller.http.spec.ts","users.controller.http.spec","4","1"
".\backend\src\users\users.controller.spec.ts","users.controller.spec","5","2"
".\backend\src\users\users.controller.ts","users.controller","22","19"
".\backend\src\users\users.module.ts","users.module","17","14"
".\backend\src\users\users.service.spec.ts","users.service.spec","35","32"
".\backend\src\users\users.service.ts","users.service","78","75"
".\backend\src\users\worker-operational-status.service.spec.ts","worker-operational-status.service.spec","4","1"
".\backend\src\users\worker-operational-status.service.ts","worker-operational-status.service","22","19"
".\backend\src\users\worker-timeline.service.ts","worker-timeline.service","12","9"
".\backend\test\aprs\apr-critical-flow.e2e-spec.ts","apr-critical-flow.e2e-spec","3","0"
".\backend\test\critical\admin-routes-security.e2e-spec.ts","admin-routes-security.e2e-spec","6","3"
".\backend\test\critical\apr-lifecycle.e2e-spec.ts","apr-lifecycle.e2e-spec","4","1"
".\backend\test\critical\auth-flow.e2e-spec.ts","auth-flow.e2e-spec","3","0"
".\backend\test\critical\checklist-lifecycle.e2e-spec.ts","checklist-lifecycle.e2e-spec","3","0"
".\backend\test\critical\multi-tenant-apr.e2e-spec.ts","multi-tenant-apr.e2e-spec","4","1"
".\backend\test\critical\nc-lifecycle.e2e-spec.ts","nc-lifecycle.e2e-spec","3","0"
".\backend\test\critical\p0-smoke.e2e-spec.ts","p0-smoke.e2e-spec","3","0"
".\backend\test\critical\phase4-stepup.e2e-spec.ts","phase4-stepup.e2e-spec","3","0"
".\backend\test\critical\role-permissions.e2e-spec.ts","role-permissions.e2e-spec","4","1"
".\backend\test\critical\storage-phase3.e2e-spec.ts","storage-phase3.e2e-spec","3","0"
".\backend\test\critical\tenant-backup-restore.e2e-spec.ts","tenant-backup-restore.e2e-spec","6","2"
".\backend\test\factories\apr.factory.ts","apr.factory","7","4"
".\backend\test\factories\training.factory.ts","training.factory","3","0"
".\backend\test\factories\user.factory.ts","user.factory","3","0"
".\backend\test\helpers\apr-test.factory.ts","apr-test.factory","4","1"
".\backend\test\helpers\auth-test.helper.ts","auth-test.helper","3","0"
".\backend\test\helpers\e2e.helper.ts","e2e.helper","6","3"
".\backend\test\helpers\test.helper.ts","test.helper","9","6"
".\backend\test\helpers\test-app.ts","test-app","16","13"
".\backend\test\load\arr-emit-batch.ts","arr-emit-batch","8","0"
".\backend\test\load\build-auth-me-users.ts","build-auth-me-users","5","2"
".\backend\test\load\build-dds-publish-users.ts","build-dds-publish-users","5","2"
".\backend\test\load\did-emit-20.ts","did-emit-20","6","0"
".\backend\test\load\import-login-users.ts","import-login-users","8","3"
".\backend\test\load\preauth-tenants.ts","preauth-tenants","4","1"
".\backend\test\load\seed-tenants.ts","seed-tenants","18","12"
".\backend\test\setup\e2e-global-teardown.ts","e2e-global-teardown","4","1"
".\backend\test\setup\e2e-infra-check.ts","e2e-infra-check","5","2"
".\backend\test\setup\test-env.ts","test-env","15","12"
".\frontend\app\cookies\page.tsx","page","4860","4855"
".\frontend\app\dashboard\error.tsx","error","8503","8496"
".\frontend\app\dashboard\layout.tsx","layout","220","217"
".\frontend\app\dashboard\loading.tsx","loading","700","696"
".\frontend\app\dashboard\page.test.tsx","page.test","16","13"
".\frontend\app\dashboard\page.tsx","page","4860","4857"
".\frontend\app\privacidade\page.tsx","page","4860","4855"
".\frontend\app\termos\page.tsx","page","4860","4855"
".\frontend\app\verify\page.test.tsx","page.test","16","13"
".\frontend\app\verify\page.tsx","page","4860","4857"
".\frontend\components\dashboard\ActivityFeed.tsx","ActivityFeed","15","10"
".\frontend\components\dashboard\DailyReportButton.tsx","DailyReportButton","8","3"
".\frontend\components\dashboard\DashboardHero.tsx","DashboardHero","11","2"
".\frontend\components\dashboard\DashboardKPIs.tsx","DashboardKPIs","10","4"
".\frontend\components\dashboard\DashboardPrimaryActions.tsx","DashboardPrimaryActions","9","3"
".\frontend\components\dashboard\DashboardSectionBoundary.tsx","DashboardSectionBoundary","29","18"
".\frontend\components\dashboard\DashboardWorkArea.tsx","DashboardWorkArea","6","2"
".\frontend\components\dashboard\LastUpdatedLabel.tsx","LastUpdatedLabel","15","9"
".\frontend\components\dashboard\PendingQueue.tsx","PendingQueue","166","156"
".\frontend\components\dashboard\SiteCompliance.tsx","SiteCompliance","9","4"
".\frontend\components\dashboard\SSTScoreRings.tsx","SSTScoreRings","10","5"
".\frontend\components\dds\DdsApprovalPanel.test.tsx","DdsApprovalPanel.test","3","0"
".\frontend\components\dds\DdsApprovalPanel.tsx","DdsApprovalPanel","21","15"
".\frontend\components\document-videos\DocumentVideoPanel.tsx","DocumentVideoPanel","13","7"
".\frontend\components\layout\FormPageLayout.tsx","FormPageLayout","19","10"
".\frontend\components\layout\index.ts","index","20758","20755"
".\frontend\components\layout\ListPageLayout.tsx","ListPageLayout","88","77"
".\frontend\components\layout\PageHeader.tsx","PageHeader","68","62"
".\frontend\components\rdos\RdoActionModals.tsx","RdoActionModals","9","3"
".\frontend\components\rdos\RdoActivityEditorCard.tsx","RdoActivityEditorCard","8","2"
".\frontend\components\rdos\RdoEditorModal.tsx","RdoEditorModal","9","3"
".\frontend\components\rdos\rdo-modal-types.ts","rdo-modal-types","7","4"
".\frontend\components\rdos\RdoViewerModal.tsx","RdoViewerModal","9","3"
".\frontend\components\ui\badge.tsx","badge","278","269"
".\frontend\components\ui\button.tsx","button","1425","1407"
".\frontend\components\ui\card.tsx","card","765","749"
".\frontend\components\ui\confirm-modal.tsx","confirm-modal","8","5"
".\frontend\components\ui\form-field.tsx","form-field","14","11"
".\frontend\components\ui\inline-callout.tsx","inline-callout","9","6"
".\frontend\components\ui\input.tsx","input","2753","2746"
".\frontend\components\ui\modal-frame.test.tsx","modal-frame.test","3","0"
".\frontend\components\ui\modal-frame.tsx","modal-frame","22","19"
".\frontend\components\ui\select.tsx","select","2255","2247"
".\frontend\components\ui\skeleton.tsx","skeleton","25","22"
".\frontend\components\ui\state.tsx","state","1122","1119"
".\frontend\components\ui\status-pill.tsx","status-pill","52","45"
".\frontend\components\ui\summary-metric-card.tsx","summary-metric-card","5","2"
".\frontend\components\ui\table.tsx","table","4739","4729"
".\frontend\components\ui\textarea.tsx","textarea","108","102"
".\frontend\lib\cache\cacheKeys.ts","cacheKeys","17","15"
".\frontend\lib\date\safeFormat.ts","safeFormat","84","80"
".\frontend\lib\medical-exams\date.test.ts","date.test","11","8"
".\frontend\lib\medical-exams\date.ts","date","16588","16576"
".\frontend\lib\pdf\aprGenerator.ts","aprGenerator","7","4"
".\frontend\lib\pdf\arrGenerator.test.ts","arrGenerator.test","3","0"
".\frontend\lib\pdf\arrGenerator.ts","arrGenerator","10","7"
".\frontend\lib\pdf\auditGenerator.ts","auditGenerator","5","2"
".\frontend\lib\pdf\catGenerator.test.ts","catGenerator.test","3","0"
".\frontend\lib\pdf\catGenerator.ts","catGenerator","12","9"
".\frontend\lib\pdf\checklistGenerator.test.ts","checklistGenerator.test","3","0"
".\frontend\lib\pdf\checklistGenerator.ts","checklistGenerator","19","16"
".\frontend\lib\pdf\dailyReportGenerator.ts","dailyReportGenerator","13","10"
".\frontend\lib\pdf\ddsGenerator.ts","ddsGenerator","5","2"
".\frontend\lib\pdf\didGenerator.ts","didGenerator","6","3"
".\frontend\lib\pdf\dossierGenerator.test.ts","dossierGenerator.test","3","0"
".\frontend\lib\pdf\dossierGenerator.ts","dossierGenerator","11","8"
".\frontend\lib\pdf\governedDraftDefaults.test.ts","governedDraftDefaults.test","3","0"
".\frontend\lib\pdf\monthlyReportGenerator.test.ts","monthlyReportGenerator.test","3","0"
".\frontend\lib\pdf\monthlyReportGenerator.ts","monthlyReportGenerator","19","16"
".\frontend\lib\pdf\nonConformityGenerator.ts","nonConformityGenerator","4","1"
".\frontend\lib\pdf\pdfBase64.ts","pdfBase64","20","17"
".\frontend\lib\pdf\pdfFile.test.ts","pdfFile.test","3","0"
".\frontend\lib\pdf\pdfFile.ts","pdfFile","99","96"
".\frontend\lib\pdf\ptGenerator.ts","ptGenerator","10","7"
".\frontend\lib\pdf\rdoGenerator.test.ts","rdoGenerator.test","3","0"
".\frontend\lib\pdf\rdoGenerator.ts","rdoGenerator","10","7"
".\frontend\lib\pdf\trainingGenerator.test.ts","trainingGenerator.test","3","0"
".\frontend\lib\pdf\trainingGenerator.ts","trainingGenerator","9","6"
".\frontend\lib\pdf-system\index.ts","index","20758","20755"
".\frontend\lib\perf\clientMetrics.ts","clientMetrics","4","1"
".\frontend\lib\security\is-safe-image-preview-url.test.ts","is-safe-image-preview-url.test","5","2"
".\frontend\lib\security\is-safe-image-preview-url.ts","is-safe-image-preview-url","13","10"
".\frontend\lib\security\safe-external-url.test.ts","safe-external-url.test","5","2"
".\frontend\lib\security\safe-external-url.ts","safe-external-url","20","17"
".\frontend\lib\security\safe-internal-href.test.ts","safe-internal-href.test","3","0"
".\frontend\lib\security\safe-internal-href.ts","safe-internal-href","14","11"
".\frontend\lib\sentry\browser-client.ts","browser-client","6","3"
".\frontend\lib\sentry\scrub.ts","scrub","14","10"
".\frontend\lib\theme\read-theme-var.ts","read-theme-var","4","1"
".\frontend\lib\videos\documentVideos.ts","documentVideos","47","44"
